"UserID","YOB","Gender","Income","HouseholdStatus","EducationLevel","Party","Happy","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024","votes","sumNA","VQ_ratio"
15,1996,"Male","$75,000 - $100,000","Single (no kids)","Current K-12","Republican",0,"Yes","Yes","No","No","No","Yes","Private","Yes","No","No","No","No","Yes","Yes","Science","Try first","No","Yes","No","No","Receiving","Yes","No","Idealist","No","Yes","Cool headed","Standard hours","No","Right","No","No","No","No","P.M.","Yes","Start","Yes","Yes","Circumstances","No","No","Yes","No","No","Mysterious","No","No","Tunes","People","Yes","No","Yes","Yes","Yes","Demanding","No","PC","No","Cautious","No","Yes!","No","Socialize","No","In-person","No","No","Yes","Yes","Grrr people","Yes","No","Yes","No","No","Yes","No","Yes","No","No","Yes","No","Own","Pessimist","Mom","Yes","Yes","No","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes",101,0,0.926605504587156
17,1980,"Female","$50,000 - $74,999","Married (no kids)","Current Undergraduate","Independent",0,"No","Yes","No","Yes","No","No","Public","Yes","Yes","No","Yes","Yes","No","Yes","Art","Try first","Yes","Yes","Yes","Yes","Giving","No","No","Idealist","No","Yes","Hot headed","Standard hours","Yes","Happy","Yes","Yes","Yes","No","P.M.","Yes","End","No","No","Me","No","No","No","Yes","No","TMI","No","No","Tunes","Technology","No","Yes","Yes","No","Yes","Supportive","Yes","Mac","Yes","Cautious","No","Yes!","No","Space","No","In-person","No","No","Yes","No","Grrr people","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Own","Pessimist","Mom","No","Yes","Yes","Yes","Nope","Yes","No","No","Yes","No","No","Yes","No","No","No",98,4,0.899082568807339
18,1981,"Female","$50,000 - $74,999","Married (w/kids)","High School Diploma","Republican",1,"No","No","No","No","Yes","No","Public","No","Yes","No","Yes","Yes","No","Yes","Art","Try first","Yes","No","No","Yes","Giving","No","Yes","Idealist","Yes","Yes","Cool headed","Standard hours","Yes","Happy","No","Yes","Yes","Yes","P.M.","Yes","Start","Yes","Yes","Me","Yes","No","No","No","No","TMI","No","Yes","Tunes","Technology","Yes","No","Yes","Yes","No","Demanding","Yes","PC","Yes","Cautious","No","Yes!","No","Socialize","No","Online","Yes","Yes","Yes","Yes","Yay people!","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Own","Optimist","Mom","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","No",101,1,0.926605504587156
19,1971,"Male","over $150,000","Married (no kids)","Bachelor's Degree","Libertarian",0,"No","Yes","No","Yes","No","Yes","Public","No","Yes","No","No","No","No","Yes","Science","Study first","No","No","No","No","Giving","No","Yes","Pragmatist","No","Yes","Cool headed","Odd hours","No","Happy","Yes","No","Yes","No","P.M.","Yes","End","Yes","No","Circumstances","No","Yes","Yes","Yes","Yes","Mysterious","No","No","Talk","People","No","No","Yes","Yes","Yes","Demanding","No","Mac","Yes","Cautious","No","Yes!","No","Socialize","No","In-person","Yes","No","Yes","No","Grrr people","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","Own","Optimist","Dad","No","Yes","No","No","Check!","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes",30,71,0.275229357798165
20,1977,"Female","$100,001 - $150,000","Domestic Partners (no kids)","Bachelor's Degree","Libertarian",1,"Yes","No","No","Yes","Yes","No","Public","No","Yes","No","Yes","Yes","Yes","Yes","Science","Try first","No","Yes","Yes","No","Giving","Yes","No","Idealist","Yes","No","Cool headed","Standard hours","No","Right","Yes","Yes","Yes","Yes","A.M.","No","Start","Yes","Yes","Me","Yes","No","No","Yes","No","Mysterious","Yes","No","Tunes","Technology","No","Yes","No","No","Yes","Demanding","No","Mac","Yes","Cautious","No","Yes!","No","Socialize","No","Online","No","Yes","Yes","Yes","Grrr people","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","Rent","Optimist","Dad","Yes","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Only-child","Yes","No","Yes",101,0,0.926605504587156
21,1971,"Male","$50,000 - $74,999","Married (w/kids)","High School Diploma","Independent",1,"No","Yes","No","Yes","No","Yes","Public","Yes","Yes","No","Yes","No","No","Yes","Science","Try first","No","No","Yes","No","Giving","Yes","Yes","Pragmatist","Yes","No","Cool headed","Odd hours","Yes","Happy","Yes","Yes","Yes","No","P.M.","No","Start","Yes","Yes","Me","Yes","No","Yes","Yes","No","Mysterious","Yes","Yes","Tunes","Technology","Yes","No","Yes","Yes","Yes","Supportive","Yes","PC","No","Cautious","Yes","Yes!","No","Space","No","Online","Yes","Yes","Yes","Yes","Yay people!","Yes","No","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","Rent","Optimist","Dad","Yes","Yes","Yes","Yes","Nope","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes",101,0,0.926605504587156
22,1996,"Male","$75,000 - $100,000","Single (no kids)","Current K-12","Libertarian",1,"Yes","No","No","No","No","Yes","Public","No","No","Yes","Yes","No","No","Yes","Science","Study first","Yes","Yes","No","No","Receiving","No","No","Idealist","Yes","No","Hot headed","Odd hours","No","Right","No","No","No","Yes","P.M.","No","End","Yes","No","Circumstances","Yes","Yes","Yes","Yes","No","Mysterious","No","No","Tunes","People","No","Yes","Yes","Yes","Yes","Supportive","No","PC","Yes","Risk-friendly","No","Umm...","No","Socialize","No","In-person","Yes","No","Yes","No","Grrr people","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Own","Optimist","Dad","Yes","No","No","Yes","Nope","No","No","No","Yes","No","Yes","Yes","No","No","Yes",100,1,0.917431192660551
24,1979,"Male","over $150,000","Married (w/kids)","Bachelor's Degree","Republican",1,"No","No","No","Yes","No","Yes","Private","Yes","Yes","No","No","No","No","Yes","Science","Try first","No","Yes","Yes","Yes","Receiving","No","No","Pragmatist","Yes","Yes","Cool headed","Odd hours","No","Happy","Yes","Yes","Yes","Yes","P.M.","Yes","End","Yes","No","Me","No","Yes","No","Yes","No","Mysterious","Yes","No","Talk","Technology","Yes","No","Yes","Yes","No","Supportive","No","PC","No","Risk-friendly","No","Yes!","No","Socialize","Yes","In-person","No","Yes","Yes","Yes","Yay people!","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Rent","Optimist","Dad","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes",101,0,0.926605504587156
25,1997,"Female","$75,000 - $100,000","Single (no kids)","Current K-12","Democrat",1,"Yes","No","No","No","No","Yes","Public","No","Yes","No","Yes","No","Yes","Yes","Art","Study first","Yes","Yes","No","Yes","Giving","Yes","Yes","Pragmatist","No","No","Hot headed","Standard hours","No","Happy","Yes","No","No","Yes","P.M.","No","End","No","No","Circumstances","Yes","Yes","No","No","No","Mysterious","No","No","Tunes","People","No","No","Yes","No","Yes","Supportive","No","PC","No","Risk-friendly","Yes","Yes!","Yes","Space","Yes","In-person","No","No","No","Yes","Grrr people","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Own","Optimist","Mom","No","No","Yes","Yes","Check!","No","No","No","Yes","Yes","No","Yes","Yes","No","Yes",34,68,0.311926605504587
26,1976,"Male","$50,000 - $74,999","Married (no kids)","Bachelor's Degree","Democrat",0,"No","No","No","Yes","No","Yes","Public","Yes","Yes","No","Yes","No","Yes","Yes","Science","Study first","No","Yes","No","Yes","Giving","No","No","Pragmatist","No","No","Cool headed","Odd hours","Yes","Right","No","Yes","No","No","P.M.","Yes","Start","No","No","Circumstances","Yes","Yes","No","Yes","No","Mysterious","No","Yes","Talk","Technology","No","Yes","Yes","No","Yes","Supportive","No","PC","No","Cautious","Yes","Yes!","No","Space","No","In-person","Yes","Yes","Yes","Yes","Grrr people","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Rent","Pessimist","Dad","No","Yes","Yes","Yes","Check!","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes",100,1,0.917431192660551
27,1982,"Female","$25,001 - $50,000","Single (no kids)","Master's Degree","Independent",0,"Yes","No","No","Yes","No","Yes","Public","No","Yes","Yes","Yes","No","Yes","Yes","Science","Study first","Yes","No","No","Yes","Giving","Yes","No","Pragmatist","No","Yes","Hot headed","Standard hours","No","Happy","Yes","Yes","No","Yes","P.M.","Yes","Start","Yes","No","Me","Yes","Yes","No","Yes","No","TMI","No","Yes","Tunes","People","Yes","Yes","Yes","No","Yes","Demanding","No","PC","Yes","Cautious","Yes","Yes!","No","Space","Yes","In-person","Yes","No","Yes","Yes","Yay people!","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Rent","Pessimist","Dad","No","Yes","Yes","Yes","Nope","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes",99,2,0.908256880733945
28,1973,"Male","$75,000 - $100,000","Married (w/kids)","Associate's Degree","Independent",1,"No","Yes","No","Yes","No","No","Public","No","Yes","No","No","No","No","Yes","Science","Study first","No","Yes","No","No","Giving","No","No","Pragmatist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","No","Me","No","Yes","Yes","Yes","No","Mysterious","Yes","No","Talk","Technology","No","Yes","Yes","No","No","Supportive","No","PC","No","Cautious","No","Yes!","No","Space","Yes","In-person","No","Yes","Yes","Yes","Grrr people","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","Own","Pessimist","Mom","Yes","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","No","No",93,8,0.853211009174312
30,1970,"Male","over $150,000","Domestic Partners (w/kids)","Master's Degree","Democrat",1,"Yes","Yes","No","Yes","No","Yes","Public","No","Yes","No","No","Yes","Yes","Yes","Science","Study first","Yes","No","Yes","Yes","Giving","Yes","No","Idealist","No","Yes","Hot headed","Standard hours","No","Happy","Yes","Yes","No","Yes","A.M.","No","End","Yes","No","Me","Yes","No","Yes","No","Yes","TMI","No","Yes","Talk","Technology","No","No","Yes","No","Yes","Supportive","No","PC","No","Cautious","Yes","Yes!","No","Space","Yes","In-person","Yes","Yes","Yes","Yes","Grrr people","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Own","Optimist","Mom","No","Yes","Yes","Yes","Check!","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes",100,1,0.917431192660551
31,1973,"Male","over $150,000","Married (no kids)","Master's Degree","Democrat",0,"No","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","Yes","Yes","Yes","Science","Try first","Yes","Yes","No","No","Giving","No","Yes","Pragmatist","Yes","No","Hot headed","Odd hours","Yes","Right","Yes","Yes","Yes","Yes","P.M.","Yes","End","Yes","Yes","Circumstances","No","Yes","No","Yes","No","TMI","Yes","No","Talk","Technology","No","Yes","Yes","No","Yes","Demanding","No","PC","Yes","Cautious","No","Umm...","No","Space","No","In-person","Yes","No","Yes","Yes","Grrr people","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Own","Pessimist","Mom","No","Yes","Yes","Yes","Nope","Yes","No","No","Yes","No","No","Yes","No","No","Yes",99,2,0.908256880733945
32,1968,"Female","$50,000 - $74,999","Single (no kids)","Bachelor's Degree","Democrat",0,"Yes","Yes","No","Yes","No","No","Public","No","Yes","No","Yes","Yes","Yes","Yes","Science","Study first","Yes","No","No","No","Giving","Yes","No","Pragmatist","Yes","Yes","Cool headed","Standard hours","Yes","Right","Yes","Yes","No","Yes","P.M.","No","Start","No","No","Circumstances","Yes","Yes","No","Yes","No","TMI","Yes","Yes","Talk","Technology","No","Yes","Yes","No","No","Supportive","Yes","PC","Yes","Cautious","Yes","Umm...","No","Socialize","No","In-person","Yes","No","Yes","Yes","Yay people!","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Own","Pessimist","Mom","Yes","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes",35,66,0.321100917431193
35,1993,"Male","$75,000 - $100,000","Single (no kids)","Current Undergraduate","Republican",0,"No","Yes","No","No","Yes","No","Public","No","Yes","No","Yes","No","Yes","Yes","Art","Try first","No","No","No","No","Receiving","Yes","Yes","Pragmatist","No","Yes","Cool headed","Odd hours","No","Happy","Yes","Yes","No","Yes","P.M.","No","Start","No","No","Circumstances","No","Yes","No","No","No","TMI","No","No","Tunes","People","No","No","Yes","Yes","Yes","Supportive","No","PC","No","Cautious","No","Yes!","No","Socialize","Yes","In-person","No","Yes","Yes","Yes","Grrr people","No","No","No","Yes","No","Yes","No","No","Yes","No","No","No","Own","Pessimist","Dad","No","Yes","No","Yes","Nope","Yes","No","No","Yes","No","No","Yes","Yes","No","No",101,0,0.926605504587156
36,1951,"Female","$50,000 - $74,999","Married (w/kids)","Master's Degree","Democrat",0,"No","No","No","Yes","No","No","Public","No","Yes","No","No","No","Yes","Yes","Science","Try first","No","No","No","Yes","Giving","Yes","No","Pragmatist","No","Yes","Cool headed","Standard hours","Yes","Happy","Yes","Yes","Yes","No","P.M.","Yes","Start","Yes","No","Me","Yes","Yes","Yes","Yes","No","TMI","No","No","Talk","Technology","No","No","No","No","Yes","Supportive","No","Mac","Yes","Cautious","Yes","Yes!","No","Space","No","In-person","Yes","Yes","Yes","No","Yay people!","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Own","Optimist","Mom","No","Yes","No","Yes","Check!","Yes","No","No","Yes","No","No","Yes","No","No","No",87,14,0.798165137614679
38,1996,"Male","over $150,000","Single (no kids)","Current K-12","Democrat",0,"Yes","No","No","No","No","No","Public","No","Yes","No","No","No","No","Yes","Art","Try first","No","Yes","No","No","Receiving","No","Yes","Pragmatist","No","No","Cool headed","Standard hours","Yes","Right","Yes","Yes","No","Yes","P.M.","Yes","End","Yes","No","Circumstances","No","Yes","No","Yes","Yes","Mysterious","No","No","Tunes","Technology","No","No","Yes","No","Yes","Supportive","No","PC","No","Risk-friendly","Yes","Umm...","No","Space","Yes","In-person","No","Yes","Yes","Yes","Grrr people","No","No","No","No","No","Yes","Yes","No","No","No","Yes","No","Own","Pessimist","Dad","No","No","No","No","Nope","Yes","No","No","No","No","Yes","Yes","No","No","Yes",101,0,0.926605504587156
39,1977,"Female","$25,001 - $50,000","Single (no kids)","Bachelor's Degree","Democrat",1,"No","No","No","Yes","No","No","Public","No","No","No","Yes","No","No","Yes","Art","Study first","Yes","Yes","No","No","Giving","Yes","Yes","Pragmatist","No","No","Hot headed","Standard hours","No","Happy","Yes","Yes","No","No","A.M.","Yes","Start","Yes","No","Me","No","No","Yes","No","Yes","Mysterious","No","Yes","Tunes","Technology","No","Yes","Yes","No","Yes","Supportive","No","PC","No","Cautious","Yes","Yes!","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","No","Own","Optimist","Dad","No","Yes","Yes","Yes","Check!","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes",90,11,0.825688073394495
40,1961,"Male","over $150,000","Domestic Partners (no kids)","High School Diploma","Republican",1,"No","Yes","No","Yes","No","Yes","Public","No","Yes","No","No","No","No","Yes","Science","Study first","No","Yes","No","No","Giving","Yes","No","Idealist","No","No","Cool headed","Odd hours","No","Happy","No","Yes","Yes","No","P.M.","Yes","End","Yes","Yes","Me","No","Yes","Yes","Yes","No","TMI","Yes","No","Tunes","People","No","Yes","Yes","No","No","Supportive","No","Mac","No","Cautious","No","Yes!","No","Socialize","Yes","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","Own","Optimist","Dad","Yes","No","No","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes",51,50,0.467889908256881
41,1979,"Female","$75,000 - $100,000","Single (no kids)","High School Diploma","Democrat",1,"Yes","No","No","Yes","Yes","Yes","Public","No","Yes","No","Yes","Yes","No","Yes","Art","Try first","Yes","Yes","No","No","Giving","Yes","No","Idealist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","No","No","P.M.","Yes","End","Yes","No","Me","Yes","Yes","Yes","No","No","TMI","Yes","No","Talk","Technology","No","Yes","Yes","No","Yes","Demanding","Yes","PC","Yes","Cautious","No","Yes!","No","Space","Yes","In-person","No","No","Yes","No","Grrr people","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Rent","Pessimist","Dad","Yes","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes",101,0,0.926605504587156
42,1942,"Male","$100,001 - $150,000","Married (w/kids)","Master's Degree","Democrat",1,"No","No","No","No","No","No","Private","Yes","Yes","No","No","No","Yes","Yes","Science","Study first","Yes","No","Yes","Yes","Giving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","Yes","No","P.M.","Yes","Start","Yes","No","Me","Yes","No","Yes","No","No","TMI","Yes","Yes","Tunes","People","Yes","No","No","Yes","Yes","Supportive","No","Mac","No","Risk-friendly","Yes","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No","Own","Optimist","Mom","No","No","Yes","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",89,12,0.81651376146789
