"UserID","YOB","Gender","Income","HouseholdStatus","EducationLevel","Party","Q124742","Q124122","Q123464","Q123621","Q122769","Q122770","Q122771","Q122120","Q121699","Q121700","Q120978","Q121011","Q120379","Q120650","Q120472","Q120194","Q120012","Q120014","Q119334","Q119851","Q119650","Q118892","Q118117","Q118232","Q118233","Q118237","Q117186","Q117193","Q116797","Q116881","Q116953","Q116601","Q116441","Q116448","Q116197","Q115602","Q115777","Q115610","Q115611","Q115899","Q115390","Q114961","Q114748","Q115195","Q114517","Q114386","Q113992","Q114152","Q113583","Q113584","Q113181","Q112478","Q112512","Q112270","Q111848","Q111580","Q111220","Q110740","Q109367","Q108950","Q109244","Q108855","Q108617","Q108856","Q108754","Q108342","Q108343","Q107869","Q107491","Q106993","Q106997","Q106272","Q106388","Q106389","Q106042","Q105840","Q105655","Q104996","Q103293","Q102906","Q102674","Q102687","Q102289","Q102089","Q101162","Q101163","Q101596","Q100689","Q100680","Q100562","Q99982","Q100010","Q99716","Q99581","Q99480","Q98869","Q98578","Q98059","Q98078","Q98197","Q96024","votes","sumNA","VQ_ratio"
47,1989,"Female","under $25,000","Single (no kids)","High School Diploma","Independent","No","Yes","No","Yes","No","Yes","Public","No","Yes","No","No","Yes","Yes","No","Art","Study first","Yes","Yes","No","Yes","Receiving","No","No","Pragmatist","Yes","No","Cool headed","Standard hours","No","Happy","No","Yes","No","No","A.M.","Yes","Start","Yes","No","Circumstances","No","Yes","Yes","Yes","No","TMI","No","Yes","Tunes","Technology","No","No","No","No","No","Demanding","No","PC","Yes","Cautious","Yes","Yes!","No","Socialize","No","In-person","No","Yes","Yes","Yes","Yay people!","No","No","No","Yes","No","Yes","No","No","No","No","Yes","No","Rent","Optimist","Mom","No","No","Yes","Yes","Nope","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No",95,6,0.871559633027523
54,1979,"Male","$100,001 - $150,000","Married (w/kids)","Doctoral Degree","Independent","Yes","Yes","No","Yes","No","Yes","Public","No","Yes","Yes","Yes","Yes","Yes","Yes","Science","Try first","No","No","Yes","No","Giving","Yes","No","Idealist","Yes","Yes","Hot headed","Standard hours","No","Happy","No","Yes","Yes","Yes","P.M.","Yes","End","Yes","Yes","Me","Yes","No","Yes","No","No","Mysterious","Yes","No","Tunes","People","No","Yes","Yes","No","Yes","Supportive","Yes","Mac","Yes","Risk-friendly","No","Umm...","No","Space","No","In-person","No","No","Yes","Yes","Grrr people","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","Own","Pessimist","Mom","Yes","Yes","Yes","No","Nope","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes",101,0,0.926605504587156
55,1983,"Female","over $150,000","Single (no kids)","Doctoral Degree","Republican","Yes","Yes","No","Yes","Yes","Yes","Public","Yes","No","Yes","No","No","Yes","Yes","Science","Try first","No","Yes","Yes","Yes","Giving","No","No","Idealist","No","Yes","Hot headed","Odd hours","No","Happy","Yes","Yes","No","Yes","P.M.","Yes","Start","No","Yes","Me","No","No","No","Yes","Yes","Mysterious","No","Yes","Tunes","People","Yes","Yes","No","No","Yes","Demanding","No","Mac","No","Risk-friendly","No","Umm...","No","Space","Yes","In-person","Yes","No","No","No","Grrr people","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Own","Pessimist","Dad","Yes","Yes","Yes","No","Nope","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No",20,83,0.18348623853211
60,1997,"Male","$100,001 - $150,000","Single (no kids)","Current K-12","Republican","No","Yes","No","No","Yes","Yes","Private","Yes","Yes","No","Yes","Yes","Yes","Yes","Science","Try first","Yes","Yes","No","No","Giving","Yes","Yes","Idealist","No","Yes","Cool headed","Odd hours","No","Happy","Yes","No","No","Yes","P.M.","Yes","End","Yes","Yes","Me","Yes","Yes","No","Yes","Yes","Mysterious","No","No","Tunes","Technology","Yes","Yes","Yes","No","Yes","Supportive","Yes","Mac","No","Cautious","No","Yes!","No","Socialize","Yes","Online","No","Yes","Yes","Yes","Grrr people","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Own","Pessimist","Dad","Yes","No","Yes","Yes","Nope","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes",65,36,0.596330275229358
68,1986,"Male","$50,000 - $74,999","Married (w/kids)","Bachelor's Degree","Libertarian","No","Yes","No","Yes","Yes","Yes","Public","Yes","Yes","No","Yes","No","No","Yes","Science","Study first","Yes","Yes","No","No","Receiving","No","No","Pragmatist","No","No","Hot headed","Standard hours","No","Happy","Yes","Yes","Yes","No","P.M.","No","Start","Yes","Yes","Circumstances","Yes","Yes","No","Yes","No","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","Yes","No","Demanding","Yes","Mac","No","Cautious","No","Umm...","No","Socialize","Yes","In-person","No","Yes","Yes","No","Grrr people","Yes","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","Own","Pessimist","Dad","Yes","No","No","No","Check!","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No",84,18,0.770642201834862
79,1973,"Female","$75,000 - $100,000","Single (no kids)","Master's Degree","Democrat","No","No","No","Yes","No","Yes","Public","Yes","Yes","No","Yes","Yes","Yes","Yes","Science","Study first","No","Yes","Yes","Yes","Giving","No","No","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","No","Yes","No","Yes","A.M.","Yes","End","Yes","No","Circumstances","No","No","No","Yes","No","Mysterious","No","No","Tunes","People","No","Yes","Yes","No","Yes","Supportive","Yes","PC","Yes","Risk-friendly","No","Umm...","No","Space","Yes","In-person","Yes","No","Yes","No","Grrr people","Yes","Yes","No","No","Yes","No","No","No","No","Yes","No","Yes","Own","Optimist","Dad","No","Yes","No","Yes","Nope","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No",97,4,0.889908256880734
90,1975,"Male","$75,000 - $100,000","Married (w/kids)","High School Diploma","Republican","Yes","Yes","No","Yes","No","No","Public","Yes","Yes","No","Yes","Yes","No","No","Science","Try first","No","Yes","Yes","No","Giving","No","Yes","Idealist","Yes","Yes","Hot headed","Odd hours","No","Happy","Yes","Yes","Yes","No","P.M.","Yes","End","Yes","Yes","Me","Yes","Yes","Yes","Yes","No","TMI","Yes","No","Talk","People","Yes","No","Yes","Yes","No","Demanding","No","PC","Yes","Risk-friendly","No","Yes!","No","Socialize","No","In-person","Yes","Yes","Yes","Yes","Grrr people","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","Yes","Own","Optimist","Dad","No","No","Yes","Yes","Nope","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes",96,5,0.880733944954128
93,1995,"Male","under $25,000","Single (no kids)","Current Undergraduate","Democrat","No","No","Yes","No","No","Yes","Private","No","Yes","No","Yes","Yes","Yes","Yes","Art","Study first","Yes","Yes","Yes","No","Receiving","Yes","Yes","Idealist","No","Yes","Cool headed","Odd hours","Yes","Happy","Yes","Yes","No","No","P.M.","Yes","Start","Yes","No","Me","No","Yes","No","Yes","No","TMI","No","No","Tunes","People","Yes","Yes","Yes","No","No","Supportive","No","Mac","No","Cautious","Yes","Yes!","No","Socialize","Yes","Online","No","No","Yes","No","Yay people!","No","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Rent","Optimist","Dad","No","Yes","Yes","Yes","Check!","No","No","No","No","Yes","Yes","Yes","No","Yes","No",62,39,0.568807339449541
98,1998,"Female","$100,001 - $150,000","Single (no kids)","Current K-12","Republican","No","No","No","No","No","Yes","Public","Yes","No","No","No","No","No","Yes","Science","Study first","Yes","No","No","No","Giving","Yes","No","Pragmatist","No","No","Hot headed","Standard hours","No","Happy","Yes","No","No","No","P.M.","Yes","Start","Yes","No","Circumstances","No","Yes","No","No","No","Mysterious","No","No","Tunes","Technology","No","No","Yes","No","Yes","Supportive","No","Mac","No","Risk-friendly","Yes","Yes!","No","Space","Yes","Online","No","Yes","No","No","Grrr people","No","No","No","No","No","No","Yes","No","No","No","No","No","Own","Optimist","Dad","No","No","Yes","Yes","Check!","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No",35,67,0.321100917431193
101,1960,"Male","$50,000 - $74,999","Single (w/kids)","Associate's Degree","Independent","Yes","No","No","Yes","No","Yes","Public","No","Yes","No","Yes","No","No","No","Science","Try first","No","No","No","No","Giving","No","No","Pragmatist","No","No","Cool headed","Standard hours","No","Right","Yes","Yes","Yes","Yes","A.M.","No","End","Yes","Yes","Circumstances","No","Yes","Yes","Yes","Yes","Mysterious","Yes","No","Tunes","Technology","No","No","Yes","Yes","Yes","Demanding","No","PC","Yes","Risk-friendly","No","Yes!","No","Socialize","No","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Own","Optimist","Dad","Yes","Yes","No","Yes","Nope","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes",41,61,0.376146788990826
107,1944,"Female","over $150,000","Married (w/kids)","Bachelor's Degree","Republican","No","No","No","No","Yes","Yes","Public","No","Yes","No","No","Yes","No","Yes","Art","Try first","Yes","No","Yes","Yes","Giving","Yes","No","Pragmatist","No","No","Cool headed","Odd hours","Yes","Happy","No","Yes","No","No","P.M.","Yes","Start","Yes","Yes","Me","No","No","No","Yes","No","TMI","Yes","No","Talk","Technology","No","No","Yes","No","No","Supportive","No","Mac","Yes","Cautious","No","Umm...","No","Space","No","Online","Yes","No","Yes","No","Yay people!","Yes","No","No","Yes","Yes","No","No","Yes","No","No","Yes","No","Own","Optimist","Dad","No","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes",95,6,0.871559633027523
109,1985,"Male","$25,001 - $50,000","Married (no kids)","Bachelor's Degree","Other","No","No","No","Yes","No","No","Public","No","Yes","No","Yes","Yes","No","Yes","Science","Study first","Yes","No","No","Yes","Giving","Yes","No","Idealist","Yes","Yes","Hot headed","Standard hours","No","Happy","Yes","Yes","Yes","Yes","A.M.","Yes","Start","No","Yes","Me","Yes","No","Yes","Yes","No","TMI","No","No","Tunes","Technology","No","Yes","Yes","No","No","Supportive","No","PC","Yes","Risk-friendly","Yes","Yes!","Yes","Socialize","Yes","In-person","Yes","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Rent","Optimist","Mom","Yes","Yes","Yes","Yes","Check!","Yes","No","No","No","No","No","Only-child","No","No","No",101,0,0.926605504587156
113,1976,"Male","under $25,000","Single (no kids)","High School Diploma","Libertarian","Yes","No","No","Yes","Yes","Yes","Public","No","Yes","No","No","No","No","Yes","Science","Study first","Yes","No","Yes","Yes","Giving","No","Yes","Pragmatist","No","No","Cool headed","Odd hours","No","Happy","No","Yes","Yes","No","P.M.","Yes","End","Yes","Yes","Me","No","Yes","Yes","Yes","No","Mysterious","Yes","No","Tunes","Technology","No","Yes","Yes","Yes","Yes","Demanding","No","PC","Yes","Risk-friendly","No","Umm...","No","Space","No","Online","Yes","No","No","Yes","Grrr people","Yes","No","No","No","No","No","Yes","Yes","No","Yes","No","Yes","Own","Optimist","Dad","Yes","Yes","Yes","Yes","Nope","No","No","No","Yes","No","No","Yes","No","No","Yes",53,48,0.486238532110092
116,1979,"Female","$100,001 - $150,000","Single (no kids)","Doctoral Degree","Democrat","No","No","No","Yes","No","No","Private","Yes","Yes","No","No","Yes","Yes","Yes","Art","Study first","Yes","No","Yes","Yes","Giving","Yes","Yes","Pragmatist","No","Yes","Cool headed","Standard hours","Yes","Happy","Yes","Yes","Yes","No","A.M.","Yes","Start","Yes","No","Me","Yes","Yes","No","Yes","No","Mysterious","Yes","No","Tunes","Technology","No","No","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","Yes","Yes!","No","Socialize","Yes","In-person","No","Yes","Yes","Yes","Grrr people","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Rent","Optimist","Mom","No","No","Yes","Yes","Check!","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes",99,3,0.908256880733945
118,1981,"Female","$75,000 - $100,000","Domestic Partners (w/kids)","Bachelor's Degree","Democrat","Yes","Yes","No","No","No","No","Public","Yes","No","No","Yes","Yes","Yes","Yes","Science","Study first","No","Yes","No","No","Giving","Yes","Yes","Pragmatist","No","Yes","Hot headed","Odd hours","No","Right","Yes","Yes","No","No","P.M.","Yes","End","No","No","Me","No","No","No","Yes","No","TMI","No","No","Tunes","People","No","Yes","Yes","No","Yes","Demanding","No","PC","Yes","Cautious","Yes","Yes!","No","Space","No","In-person","No","No","Yes","No","Grrr people","Yes","No","No","Yes","Yes","No","No","Yes","No","No","Yes","No","Own","Optimist","Dad","No","No","Yes","No","Check!","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes",101,0,0.926605504587156
119,1993,"Female","$75,000 - $100,000","Single (no kids)","Current Undergraduate","Democrat","No","Yes","Yes","No","No","Yes","Public","No","No","No","No","No","No","Yes","Art","Try first","Yes","No","No","No","Giving","No","Yes","Pragmatist","No","No","Cool headed","Odd hours","No","Happy","Yes","Yes","No","Yes","P.M.","No","End","Yes","No","Circumstances","No","No","Yes","Yes","Yes","Mysterious","No","No","Tunes","People","No","No","Yes","Yes","Yes","Supportive","No","Mac","No","Risk-friendly","No","Umm...","No","Space","No","In-person","Yes","Yes","Yes","Yes","Grrr people","No","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","Own","Optimist","Mom","No","No","Yes","Yes","Nope","Yes","No","No","No","Yes","No","Yes","No","No","No",101,0,0.926605504587156
120,1965,"Male","$75,000 - $100,000","Domestic Partners (no kids)","Master's Degree","Democrat","No","Yes","No","No","Yes","Yes","Public","No","Yes","No","Yes","Yes","Yes","Yes","Science","Study first","Yes","Yes","Yes","Yes","Giving","No","Yes","Idealist","No","No","Cool headed","Odd hours","Yes","Happy","Yes","Yes","Yes","No","A.M.","No","Start","Yes","No","Circumstances","No","No","Yes","No","No","Mysterious","Yes","Yes","Tunes","Technology","No","Yes","Yes","Yes","Yes","Demanding","Yes","PC","Yes","Cautious","Yes","Umm...","No","Space","Yes","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","No","Own","Optimist","Mom","Yes","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No",99,2,0.908256880733945
126,1990,"Male","under $25,000","Single (no kids)","High School Diploma","Democrat","Yes","Yes","No","No","Yes","Yes","Public","No","No","No","No","Yes","Yes","Yes","Science","Study first","Yes","No","No","No","Receiving","No","No","Idealist","No","Yes","Hot headed","Odd hours","No","Right","Yes","Yes","No","Yes","P.M.","No","End","Yes","Yes","Me","Yes","Yes","No","Yes","No","Mysterious","No","No","Tunes","Technology","No","Yes","Yes","No","No","Demanding","No","PC","Yes","Cautious","No","Yes!","Yes","Space","No","Online","Yes","No","No","Yes","Grrr people","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Rent","Pessimist","Dad","No","No","Yes","Yes","Check!","No","No","No","Yes","Yes","No","Yes","No","No","No",26,76,0.238532110091743
131,1975,"Female","$50,000 - $74,999","Single (no kids)","Bachelor's Degree","Democrat","No","No","No","Yes","No","No","Private","No","Yes","No","Yes","Yes","Yes","Yes","Science","Study first","No","Yes","Yes","No","Giving","No","No","Idealist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","Yes","No","A.M.","Yes","Start","Yes","No","Me","No","No","Yes","Yes","No","Mysterious","No","Yes","Tunes","People","Yes","Yes","Yes","No","No","Supportive","No","PC","No","Cautious","No","Yes!","Yes","Socialize","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Own","Optimist","Dad","No","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",58,44,0.532110091743119
134,1994,"Female","$100,001 - $150,000","Single (no kids)","Current Undergraduate","Republican","No","No","No","No","No","Yes","Private","Yes","Yes","Yes","Yes","Yes","No","Yes","Science","Study first","No","No","No","Yes","Giving","Yes","Yes","Pragmatist","No","No","Cool headed","Standard hours","No","Happy","Yes","Yes","No","No","P.M.","Yes","End","Yes","No","Circumstances","No","No","No","Yes","No","Mysterious","No","Yes","Tunes","People","Yes","No","Yes","No","Yes","Supportive","No","Mac","No","Cautious","Yes","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes","Rent","Optimist","Dad","Yes","No","Yes","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes",81,21,0.743119266055046
135,1961,"Male","over $150,000","Married (w/kids)","Bachelor's Degree","Independent","No","No","No","Yes","Yes","Yes","Public","No","Yes","No","No","Yes","No","Yes","Science","Try first","Yes","Yes","No","No","Giving","Yes","No","Pragmatist","No","No","Hot headed","Odd hours","Yes","Right","No","Yes","Yes","Yes","A.M.","Yes","End","No","Yes","Me","No","Yes","Yes","Yes","No","TMI","Yes","Yes","Tunes","Technology","Yes","No","Yes","No","Yes","Supportive","No","PC","Yes","Cautious","No","Yes!","No","Space","Yes","Online","Yes","Yes","No","Yes","Yay people!","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No","Yes","Own","Optimist","Dad","Yes","Yes","Yes","Yes","Nope","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",70,33,0.642201834862385
137,1952,"Female","over $150,000","Married (no kids)","Bachelor's Degree","Republican","Yes","Yes","No","Yes","No","Yes","Public","No","Yes","No","No","Yes","No","Yes","Science","Study first","Yes","Yes","No","Yes","Receiving","Yes","No","Pragmatist","No","No","Cool headed","Standard hours","Yes","Happy","Yes","Yes","No","Yes","A.M.","Yes","End","Yes","No","Circumstances","No","Yes","Yes","No","No","TMI","No","No","Talk","Technology","No","Yes","No","No","Yes","Supportive","No","PC","No","Cautious","No","Yes!","No","Space","No","In-person","No","Yes","Yes","Yes","Yay people!","Yes","Yes","No","Yes","No","No","Yes","No","No","No","Yes","Yes","Own","Pessimist","Mom","Yes","Yes","No","Yes","Check!","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes",101,0,0.926605504587156
139,1996,"Male","over $150,000","Single (no kids)","Current K-12","Libertarian","No","No","No","No","No","Yes","Public","Yes","No","No","No","No","Yes","Yes","Science","Try first","Yes","Yes","No","No","Receiving","Yes","Yes","Pragmatist","No","Yes","Cool headed","Standard hours","No","Happy","Yes","No","No","Yes","P.M.","Yes","Start","Yes","No","Me","Yes","Yes","Yes","No","No","Mysterious","No","No","Tunes","People","No","Yes","Yes","No","Yes","Supportive","No","Mac","No","Cautious","No","Yes!","No","Space","Yes","In-person","No","No","Yes","Yes","Grrr people","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","No","Own","Pessimist","Dad","No","No","Yes","Yes","Nope","No","No","No","Yes","Yes","Yes","Yes","No","No","No",101,0,0.926605504587156
